Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},1,637,637,637,637,637,637,637,"0,000%","1,56986","467,39","0,40"
Owners tab,10,1175,1197,1464,1464,1932,637,1932,"0,000%","4,47227","1331,53","1,13"
http://20.50.171.10:9966/petclinic/api/owners/5 2 Pet clinic,2,46,42,50,50,50,42,50,"0,000%","3,90625","1,72","0,99"
http://20.50.171.10:9966/petclinic/api/pettypes 2 Pet clinic,1,333,333,333,333,333,333,333,"0,000%","3,00300","97,00","0,76"
http://20.50.171.10:9966/petclinic/api/pets/1 2 Pet clinic,2,43,42,45,45,45,42,45,"100,000%","22,98851","5,72","8,77"
Owner page,10,234,199,288,288,425,171,425,"100,000%","5,81395","191,81","4,42"
http://20.50.171.10:9966/petclinic/api/owners 5 ${websiteName},1,812,812,812,812,812,812,812,"0,000%","1,23153","366,66","0,31"
Edit pet form,10,90,89,100,100,106,80,106,"100,000%","7,13776","4,93","5,46"
http://20.50.171.10:9966/petclinic/api/owners/5 5 Pet clinic,2,49,44,54,54,54,44,54,"0,000%","5,24934","2,32","1,33"
http://20.50.171.10:9966/petclinic/api/owners 1 ${websiteName},1,1326,1326,1326,1326,1326,1326,1326,"0,000%",",75415","224,53","0,19"
http://20.50.171.10:9966/petclinic/api/owners/5 1 Pet clinic,2,44,44,44,44,44,44,44,"0,000%","5,61798","2,48","1,43"
http://20.50.171.10:9966/petclinic/api/owners 3 ${websiteName},1,1204,1204,1204,1204,1204,1204,1204,"0,000%",",83056","247,28","0,21"
http://20.50.171.10:9966/petclinic/api/owners/5 3 Pet clinic,2,45,43,48,48,48,43,48,"0,000%","6,41026","2,83","1,63"
http://20.50.171.10:9966/petclinic/api/pettypes 5 Pet clinic,1,190,190,190,190,190,190,190,"0,000%","5,26316","170,00","1,34"
http://20.50.171.10:9966/petclinic/api/pets/1 5 Pet clinic,2,44,44,45,45,45,44,45,"100,000%","22,22222","5,53","8,47"
http://20.50.171.10:9966/petclinic/api/pettypes 1 Pet clinic,1,173,173,173,173,173,173,173,"0,000%","5,78035","186,71","1,47"
